,data.value
0,19.04.2021
1,14.04.2021
2,25.03.2021
3,23.03.2021
4,19.04.2020
5,10.09.2019
6,06.10.2018
7,17.07.2018
8,29.06.2018
9,08.06.2018
10,07.06.2018
11,13.05.2018
