Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
126, 0.0137131  , 0.163929 , 0.000567866 
127, 0.0126582  , 0.163731 , 0.000745128 
128, 0.0147679  , 0.163844 , 0.000680363 
129, 0.0147679  , 0.180434 , 0.028522    
130, 0.0189873  , 0.174714 , 0.00233083  
131, 0.0179325  , 0.174682 , 0.00209194  
132, 0.0137131  , 0.168294 , 0.00107278  
133, 0.0137131  , 0.17035  , 0.000883404 
134, 0.00949367 , 0.149127 , 5.36177e-06 
135, 0.00843882 , 0.161775 , 0.000177905 
136, 0.0189873  , 0.177229 , 0.0179298   
137, 0.0105485  , 0.174457 , 0.00109467  
138, 0.0116034  , 0.174489 , 0.00113552  
139, 0.0168776  , 0.162747 , 0.00103724  
140, 0.0147679  , 0.15587  , 0.000200907 
141, 0.0158228  , 0.185301 , 0.0268162   
142, 0.0137131  , 0.162663 , 0.00077124  
143, 0.0168776  , 0.168563 , 0.000757227 
144, 0.0179325  , 0.182378 , 0.0243736   
145, 0.0126582  , 0.156255 , 0.000359281 
146, 0.0147679  , 0.161941 , 0.000270669 
147, 0.0147679  , 0.161941 , 0.00042568  
148, 0.0179325  , 0.183899 , 0.00151655  
149, 0.0168776  , 0.177263 , 0.00123527  
150, 0.0147679  , 0.159034 , 1.24503e-05 
151, 0.0158228  , 0.183828 , 0.00162907  
152, 0.0179325  , 0.184544 , 0.0020711   
153, 0.0158228  , 0.171584 , 0.000744992 
154, 0.0179325  , 0.162971 , 0.000196367 
155, 0.0158228  , 0.168145 , 0.0006007   
156, 0.0200422  , 0.166316 , 0.000433744 
157, 0.0137131  , 0.166141 , 0.000319784 
158, 0.021097   , 0.188095 , 0.00244528  
159, 0.0189873  , 0.20794  , 0.0493992   
160, 0.0158228  , 0.162915 , 0.000111644 
161, 0.0189873  , 0.184759 , 0.00134763  
162, 0.0168776  , 0.191709 , 0.0248078   
163, 0.0179325  , 0.180571 , 0.0011125   
164, 0.0179325  , 0.180571 , 0.00140639  
165, 0.0179325  , 0.180571 , 0.0143638   
166, 0.0221519  , 0.173372 , 0.0134526   
167, 0.0158228  , 0.162635 , 0.000213901 
168, 0.0147679  , 0.184615 , 0.00125252  
169, 0.021097   , 0.184651 , 0.0014899   
170, 0.0168776  , 0.162663 , 0.0003517   
171, 0.0147679  , 0.183792 , 0.00102842  
172, 0.021097   , 0.184831 , 0.00194252  
173, 0.0168776  , 0.183863 , 0.00141051  
174, 0.0168776  , 0.164184 , 0.000298032 
175, 0.0200422  , 0.184615 , 0.00237714  
176, 0.0116034  , 0.162803 , 6.8856e-05  
177, 0.0116034  , 0.158954 , 8.92793e-06 
178, 0.0253165  , 0.180813 , 0.00181758  
179, 0.021097   , 0.164298 , 0.000415834 
180, 0.0168776  , 0.168175 , 0.000615496 
181, 0.0179325  , 0.184723 , 0.00164339  
182, 0.0232068  , 0.178028 , 0.000970265 
183, 0.0295359  , 0.190361 , 0.0122008   
184, 0.0263713  , 0.180297 , 0.000618741 
185, 0.0200422  , 0.174393 , 0.000423518 
186, 0.0263713  , 0.190975 , 0.00128807  
187, 0.0295359  , 0.17494  , 0.000544412 
188, 0.0253165  , 0.189146 , 0.018192    
189, 0.0189873  , 0.17494  , 0.000381465 
190, 0.0200422  , 0.164156 , 0.000112868 
191, 0.0253165  , 0.171646 , 0.000478161 
192, 0.0253165  , 0.190937 , 0.00164072  
193, 0.021097   , 0.188095 , 0.00103118  
194, 0.0305907  , 0.174618 , 0.000759512 
195, 0.0200422  , 0.16755  , 0.000167013 
196, 0.0316456  , 0.174908 , 0.000417259 
197, 0.0253165  , 0.189033 , 0.00146387  
198, 0.0232068  , 0.177761 , 0.000590652 
199, 0.0200422  , 0.183047 , 0.000922033 
200, 0.0242616  , 0.194103 , 0.0151866   
201, 0.0189873  , 0.208719 , 0.0363902   
202, 0.0263713  , 0.195383 , 0.0212898   
203, 0.0242616  , 0.170657 , 0.00018397  
204, 0.0242616  , 0.166112 , 0.000227637 
205, 0.0221519  , 0.185519 , 0.00111081  
206, 0.0253165  , 0.186909 , 0.00111858  
207, 0.0221519  , 0.174714 , 0.000465736 
208, 0.0253165  , 0.181435 , 0.000970465 
209, 0.0221519  , 0.181679 , 0.0145959   
210, 0.021097   , 0.164184 , 0.000110784 
211, 0.0189873  , 0.169286 , 0.000240882 
212, 0.0242616  , 0.177794 , 0.000688359 
213, 0.028481   , 0.172051 , 0.000511165 
214, 0.021097   , 0.168984 , 0.000230988 
215, 0.0263713  , 0.186945 , 0.000941224 
216, 0.0179325  , 0.175881 , 0.000682701 
217, 0.0232068  , 0.169044 , 0.000259966 
218, 0.0232068  , 0.181193 , 0.00104766  
219, 0.0242616  , 0.170657 , 0.000286467 
220, 0.0253165  , 0.178195 , 0.000680164 
221, 0.0168776  , 0.174553 , 0.000294905 
222, 0.0242616  , 0.183899 , 0.00134975  
223, 0.0189873  , 0.175914 , 0.000603351 
224, 0.0295359  , 0.1804   , 0.000791414 
225, 0.0253165  , 0.177761 , 0.000464752 
226, 0.0242616  , 0.224061 , 0.00376694  
227, 0.021097   , 0.222954 , 0.00412297  
228, 0.0242616  , 0.220056 , 0.00370145  
229, 0.0305907  , 0.23477  , 0.0351426   
230, 0.0189873  , 0.214431 , 0.000539811 
231, 0.0221519  , 0.216241 , 0.00307951  
232, 0.0263713  , 0.217132 , 0.00351983  
233, 0.0221519  , 0.21227  , 0.00118518  
234, 0.0242616  , 0.218383 , 0.00187693  
235, 0.0116034  , 0.213417 , 0.000806444 
236, 0.0179325  , 0.221858 , 0.00319669  
237, 0.0263713  , 0.220107 , 0.00184597  
238, 0.0168776  , 0.213802 , 0.00129741  
239, 0.0253165  , 0.211891 , 0.0194328   
240, 0.0232068  , 0.211986 , 0.000506288 
241, 0.0274262  , 0.219546 , 0.0683534   
242, 0.021097   , 0.2102   , 0.00108714  
243, 0.0168776  , 0.222066 , 0.0025059   
244, 0.0232068  , 0.226903 , 0.113168    
245, 0.0200422  , 0.224061 , 0.00401759  
246, 0.0189873  , 0.231558 , 0.00399881  
247, 0.0253165  , 0.223164 , 0.00235241  
248, 0.0200422  , 0.234074 , 0.0390396   
249, 0.0242616  , 0.222431 , 0.00303622  
250, 0.0274262  , 0.238671 , 0.0444906   
251, 0.0263713  , 0.235236 , 0.0724471   
252, 0.028481   , 0.232581 , 0.0520605   
253, 0.0179325  , 0.215406 , 0.00189303  
254, 0.0263713  , 0.219546 , 0.0442462   
255, 0.0189873  , 0.225232 , 0.00454957  
256, 0.0305907  , 0.222535 , 0.00197534  
257, 0.0221519  , 0.224008 , 0.00299979  
258, 0.021097   , 0.242269 , 0.112576    
259, 0.021097   , 0.223374 , 0.00239874  
260, 0.0274262  , 0.232012 , 0.00601999  
261, 0.0242616  , 0.230938 , 0.0061745   
262, 0.0221519  , 0.20744  , 0.000746769 
263, 0.0232068  , 0.222692 , 0.00179113  
264, 0.0295359  , 0.231389 , 0.00463568  
