Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
127, 0.0192719  , 0.130247 , 1.48371e-05 
128, 0.0203426  , 0.148916 , 0.000998985 
129, 0.0203426  , 0.148916 , 0.00148616  
130, 0.0256959  , 0.160509 , 0.0415486   
131, 0.0214133  , 0.14894  , 0.00130785  
132, 0.0235546  , 0.142378 , 0.00112691  
133, 0.0192719  , 0.138947 , 0.000419983 
134, 0.0171306  , 0.138905 , 0.000268449 
135, 0.0182013  , 0.148868 , 0.00092646  
136, 0.0182013  , 0.14227  , 0.000728884 
137, 0.0192719  , 0.138947 , 0.000407569 
138, 0.0192719  , 0.138947 , 0.000270154 
139, 0.0203426  , 0.130265 , 1.56233e-05 
140, 0.0256959  , 0.149035 , 0.00147068  
141, 0.0224839  , 0.139009 , 0.00042513  
142, 0.0139186  , 0.138843 , 0.000206104 
143, 0.0214133  , 0.142335 , 0.000766212 
144, 0.0278373  , 0.149082 , 0.00166693  
145, 0.0203426  , 0.148916 , 0.00110164  
146, 0.0182013  , 0.148868 , 0.00131492  
147, 0.0246253  , 0.13905  , 0.00060511  
148, 0.0235546  , 0.139029 , 0.000640217 
149, 0.0203426  , 0.138967 , 0.000330884 
150, 0.0224839  , 0.142356 , 0.000882488 
151, 0.0203426  , 0.138967 , 0.000395087 
152, 0.0214133  , 0.130283 , 1.98231e-05 
153, 0.0203426  , 0.142313 , 0.000945178 
154, 0.0182013  , 0.179064 , 0.0549971   
155, 0.0171306  , 0.147645 , 0.000437551 
156, 0.0107066  , 0.154713 , 0.000776954 
157, 0.00963597 , 0.152365 , 0.000695308 
158, 0.0139186  , 0.141967 , 0.000195132 
159, 0.0149893  , 0.138637 , 1.40524e-05 
160, 0.0192719  , 0.160316 , 0.00125784  
161, 0.012848   , 0.157717 , 0.000771599 
162, 0.012848   , 0.157717 , 0.000938146 
163, 0.01606    , 0.154841 , 0.00150124  
164, 0.01606    , 0.157797 , 0.000960203 
165, 0.0149893  , 0.160206 , 0.00124631  
166, 0.0139186  , 0.160178 , 0.00123717  
167, 0.0203426  , 0.147715 , 0.000606664 
168, 0.0139186  , 0.14418  , 0.000465684 
169, 0.0171306  , 0.160261 , 0.00156635  
170, 0.0182013  , 0.164756 , 0.0190352   
171, 0.01606    , 0.14201  , 0.000152258 
172, 0.0139186  , 0.152465 , 0.000672471 
173, 0.0171306  , 0.147645 , 0.000531234 
174, 0.0182013  , 0.167744 , 0.0458855   
175, 0.0117773  , 0.138576 , 8.76617e-06 
176, 0.0117773  , 0.138576 , 1.07479e-05 
177, 0.0107066  , 0.147505 , 0.000426277 
178, 0.0139186  , 0.15479  , 0.000864172 
179, 0.0182013  , 0.160288 , 0.00181824  
180, 0.0192719  , 0.144292 , 0.000457286 
181, 0.0139186  , 0.152465 , 0.000963582 
182, 0.0149893  , 0.167234 , 0.000733678 
183, 0.0182013  , 0.157717 , 0.000306723 
184, 0.0203426  , 0.160757 , 0.000516139 
185, 0.0192719  , 0.181571 , 0.0285865   
186, 0.0203426  , 0.176094 , 0.00296722  
187, 0.01606    , 0.160178 , 0.000639327 
188, 0.0214133  , 0.170812 , 0.00262897  
189, 0.0171306  , 0.175994 , 0.00237507  
190, 0.0149893  , 0.164581 , 0.0182813   
191, 0.0224839  , 0.17616  , 0.00310583  
192, 0.0182013  , 0.17242  , 0.00107242  
193, 0.0235546  , 0.185281 , 0.0251614   
194, 0.0182013  , 0.157717 , 0.000372359 
195, 0.0182013  , 0.150475 , 1.9002e-05  
196, 0.0235546  , 0.169787 , 0.00186327  
197, 0.0171306  , 0.160206 , 0.000412887 
198, 0.01606    , 0.150427 , 1.33521e-05 
199, 0.0182013  , 0.157717 , 0.000203999 
200, 0.0171306  , 0.172388 , 0.00117799  
201, 0.0235546  , 0.175696 , 0.0331933   
202, 0.0214133  , 0.176127 , 0.00281092  
203, 0.0203426  , 0.164176 , 0.000630439 
204, 0.0214133  , 0.170812 , 0.00280463  
205, 0.0171306  , 0.16409  , 0.000365388 
206, 0.0214133  , 0.15716  , 0.000358401 
207, 0.0203426  , 0.172484 , 0.00127834  
208, 0.012848   , 0.172261 , 0.000789973 
209, 0.0235546  , 0.167474 , 0.00124743  
210, 0.0192719  , 0.157107 , 0.000261826 
211, 0.0171306  , 0.160206 , 0.000461979 
212, 0.01606    , 0.150427 , 1.08164e-05 
213, 0.0192719  , 0.172452 , 0.00113709  
214, 0.012848   , 0.170562 , 0.00233691  
215, 0.0182013  , 0.167564 , 0.00144579  
216, 0.0182013  , 0.159168 , 0.000379628 
217, 0.0171306  , 0.158198 , 0.000389989 
218, 0.0214133  , 0.151673 , 0.000181757 
219, 0.0182013  , 0.158225 , 0.000463679 
